Harbour Province Name,SCH Harbour Code,Harbour Name,Number,Name,,A,B,C,"Average Landed Value, 2009-2013 ($CAD)","Average Landed Quantity, 2009-2013 (KG)",Change in Total Landed Quantity (2004 and 2013),Number of Active Vessels Port of Landing (2013),"Number of Active Vessels, Port of Landing (2009-2013)",Average Fishing Income (2009-2012),Average Income with Tax Filers (2009-2012),% of Average Fishing Income to Average Employment Income (2009-2012) (based on 2006 CSD boundaries),Total Population For CSD (2011),,
Nova Scotia,1167,LITTLE RIVER HARBOUR,1202001,Argyle,,,,,3605698,987758,-0.4535,24,23,8301417,26998789,0.3075,8252,,
New Brunswick,,LITTLE SHEMOGUE,1307004,Botsford,,,,,4592,3643,-0.9100,1,1,184264,2542776,0.0725,1074,,
Nova Scotia,1168,LITTLE TANCOOK,1206001,Lunenburg,,,,,321061,65147,-0.2345,5,4,3281566,61655736,0.0532,25118,,
Nova Scotia,,LIVERPOOL,1204010,Queens,,,,,6774573,3137384,-0.1648,5,3,2613644,28495307,0.0917,10917,,
Nova Scotia,1170,LIVINGSTONE COVE,1214001,"Antigonish, Subd. A",,,,,336030,39564,-0.3363,5,5,NA,NA,NA,8253,,
Nova Scotia,1171,LOCKEPORT,1201009,Lockeport,,,,,2891928,449270,-0.6611,33,36,1445070,3762404,0.3841,588,,
Newfoundland & Labrador,,LODGE BAY,1010008,"Division No. 10, Subd. B",,,,,1157,1125,0.9044,2,1,177096,776036,0.2282,349,,
New Brunswick,2568,LOGGIECROFT (KOUCHIBOUGUAC),1308026,Carleton,,,,,2452166,409316,0.5931,34,34,594487,2236365,0.2658,770,,
New Brunswick,,LOGGIEVILLE,1309050,,,,,,8570,7883,-0.9767,1,1,132772,66820843,0.0020,17811,,
Newfoundland & Labrador,303,LONG COVE,1001285,Norman's Cove-Long Cove,,,,,57050,5749,-0.8265,19,1,168992,2684318,0.0630,720,,
Newfoundland & Labrador,,"LONG COVE, TRINITY BAY ",,,,,,,349887,1492568,0.6308,19,16,NA,NA,NA,NA,,
Newfoundland & Labrador,337,LONG HARBOUR (MOUNT ARLINGTON HEIGHTS),1001259,"Division No.  1, Subd. A",,,,,NA,NA,NA,NA,NA,171213,1644639,0.1041,757,,
Newfoundland & Labrador,,"LONG HARBOUR, PLACENTIA BAY",,,,,,,11874,22984,-0.9973,NA,2,NA,NA,NA,NA,,
Newfoundland & Labrador,,"LONG POINT, PORT AU PORT BAY",,,,,,,215443,47835,0.3098,8,11,NA,NA,NA,NA,,
Newfoundland & Labrador,305,LONG POND/MANUELS,1001485,Conception Bay South,,,,,6767,1143,-0.9993,1,0,650367,133894703,0.0049,24848,,
New Brunswick,2582,LORDS COVE,1302006,West Isles,,,,,1394351,947164,0.0566,14,15,1374189,3062876,0.4487,731,,
Newfoundland & Labrador,306,LORD'S COVE,1002013,Lord's Cove,,,,,636,331,-0.9906,NA,1,NA,NA,NA,175,,
New Brunswick,2583,LORNEVILLE,1301006,Saint John,,,,,551477,61430,2.7416,2,2,470909,257508339,0.0018,70063,,
Nova Scotia,1175,LOUISBOURG,1217030,Cape Breton,,,,,21218426,6175809,-0.0652,61,62,4980681,329033792,0.0151,97398,,
Nova Scotia,,LOUISDALE,,,,,,,2,1,-0.9897,1,0,NA,NA,NA,NA,,
Newfoundland & Labrador,744,LOURDES,1004037,Lourdes,,,,,144406,33657,-0.1284,7,11,104376,3062954,0.0341,532,,
Quebec,,LOURDES-DE-BLANC-SABLON,2498005,Blanc-Sablon,,,,,39972,44188,-0.9346,NA,8,363356,6756699,0.0538,1118,,
Nova Scotia,,LOWER ARGYLE,1202001,Argyle,,,,,5404724,594810,-0.1847,17,27,8301417,26998789,0.3075,8252,,
Newfoundland & Labrador,,LOWER COVE,,,,,,,71909,10401,-0.5342,2,4,NA,NA,NA,NA,,
Nova Scotia,1177,LOWER EAST PUBNICO,1202001,Argyle,,,,,13843921,7825819,0.1855,46,49,8301417,26998789,0.3075,8252,,
Nova Scotia,,LOWER FIVE ISLANDS,1210012,,,,,,210112,28127,0.3433,2,1,43187,17087049,0.0025,3642,,
Newfoundland & Labrador,310,LOWER ISLAND COVE,1001339,"Division No.  1, Subd. G",,,,,348,171,NA,NA,0,1322782,5570825,0.2374,2017,,
Nova Scotia,1179,LOWER JORDAN BAY,1201006,Shelburne,,,,,NA,NA,NA,NA,NA,622600,2383982,0.2612,4408,,
Newfoundland & Labrador,311,LOWER LANCE COVE,1007006,"Division No.  7, Subd. L",,,,,179030,253641,1.9612,17,21,188873,1042749,0.1811,1272,,
Prince Edward Island,2040,LOWER MONTAGUE,1101009,Lot 59,,,,,442601,63886,-0.5746,5,8,NA,NA,NA,1203,,
Nova Scotia,1182,LOWER PROSPECT,1209034,Halifax,,,,,170050,18578,-0.1917,5,3,8295382,1795405559,0.0046,390096,,
Nova Scotia,1183,LOWER SANDY POINT,1201006,Shelburne,,,,,647415,129156,0.1153,6,10,622600,2383982,0.2612,4408,,
Nova Scotia,1185,LOWER WEDGEPORT -TUNA WHARF,1202001,Argyle,,,,,456370,810550,-0.9854,2,4,8301417,26998789,0.3075,8252,,
Nova Scotia,,LOWER WEST PUBNICO,1202001,Argyle,,,,,44294673,20097872,-0.0959,92,107,8301417,26998789,0.3075,8252,,
Nova Scotia,1186,LOWER WOODS HARBOUR,1201001,Barrington,,,,,NA,NA,NA,NA,NA,7802274,18868721,0.4135,6994,,
Newfoundland & Labrador,312,LUMSDEN,1008004,Lumsden,,,,,NA,NA,NA,NA,NA,268611,1736089,0.1547,545,,
Newfoundland & Labrador,,LUMSDEN NORTH (VACATED),1008004,Lumsden,,,,,9964,4723,0.3398,2,0,268611,1736089,0.1547,545,,
Newfoundland & Labrador,,LUMSDEN SOUTH,1008004,Lumsden,,,,,3034611,1258563,0.5280,34,32,268611,1736089,0.1547,545,,
Nova Scotia,1412,LUNENBURG - FISHERMEN'S WHARF,1206001,Lunenburg,,,,,NA,NA,NA,NA,NA,3281566,61655736,0.0532,25118,,
Nova Scotia,1187,LUNENBURG - RAILWAY WHARF,1206001,Lunenburg,,,,,NA,NA,NA,NA,NA,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,314,LUSHES BIGHT,1008056,Lushes Bight-Beaumont-Beaumont North,,,,,104345,33454,0.6823,7,8,38022,610051,0.0623,220,,
Nova Scotia,1189,MABOU HARBOUR,1215006,"Inverness, Subd. B",,,,,957343,157851,-0.0785,8,8,589237,15990801,0.0368,5144,,
Prince Edward Island,,MACAULAYS WHARF,,,,,,,533687,283584,0.0699,7,9,NA,NA,NA,NA,,
New Brunswick,2588,MACES BAY,1302008,Lepreau,,,,,23044,125440,-0.7206,1,1,462295,5818834,0.0794,752,,
Prince Edward Island,2041,MACHON'S POINT,1101001,Lot 64,,,,,3179928,1868012,-0.4976,90,71,NA,NA,NA,905,,
Nova Scotia,,MADER'S COVE,1206001,Lunenburg,,,,,49794,5748,1.0783,1,1,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,,MAIN BROOK,1009028,,,,,,32232,66680,18.8008,3,5,25392,567103,0.0448,265,,
Nova Scotia,1192,MAIN-À-DIEU,1217030,Cape Breton,,,,,2980193,460985,0.1740,33,38,4980681,329033792,0.0151,97398,,
Newfoundland & Labrador,315,MAINLAND,1004022,"Division No.  4, Subd. E",,,,,222381,49074,-0.5437,12,10,33,800,0.0414,1973,,
New Brunswick,,MAISONNETTE,1315040,,,,,,31830,17266,-0.3916,1,1,61184,1528383,0.0400,573,,
Nova Scotia,,MAITLAND,1206001,Lunenburg,,,,,79,128,-0.8381,1,0,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,564,MAKKOVIK,1011020,Makkovik,,,,,1490447,429468,-0.4354,5,8,87281,1363890,0.0640,361,,
Nova Scotia,1193,MALAGASH,1211014,"Cumberland, Subd. D",,,,,89859,13765,-0.1625,3,5,79126,10611978,0.0075,4266,,
Newfoundland & Labrador,317,MALL BAY,1001155,"Division No.  1, Subd. W",,,,,NA,NA,NA,NA,NA,NA,NA,NA,511,,
New Brunswick,2591,MALLOCH BEACH (NORTH ROAD),1302004,Campobello Island,,,,,118425,23058,3.0035,6,3,627343,2756061,0.2276,925,,
Prince Edward Island,,MALPEQUE BAY,1103016,Lot 18,,,,,71770,47007,-0.8223,1,2,NA,NA,NA,1054,,
Prince Edward Island,2042,MALPEQUE COVE (MALPEQUE),1103016,Lot 18,,,,,2711684,433317,-0.1551,20,26,NA,NA,NA,1054,,
Nova Scotia,,MARBLE MOUNTAIN,1215001,"Inverness, Subd. C",,,,,10152,1118,0.6393,1,1,184616,12277489,0.0150,3357,,
Newfoundland & Labrador,,MARCHES POINT,1004033,,,,,,5220,2847,3.0500,1,1,89792,2107280,0.0426,949,,
Newfoundland & Labrador,319,MARGAREE,1003031,"Division No.  3, Subd. H",,,,,123759,93992,-0.9810,1,4,NA,NA,NA,727,,
Nova Scotia,1195,MARGAREE HARBOUR (BELLE CÔTE),1215011,"Inverness, Subd. A",,,,,1804709,253968,-0.5399,18,17,1281897,14555042,0.0881,5280,,
Nova Scotia,1197,MARIE JOSEPH,1213001,St. Mary's,,,,,1270580,131902,-0.5780,7,7,958481,6401724,0.1497,2354,,
Nova Scotia,,MARTINIQUE,1216001,"Richmond, Subd. C",,,,,35414,16451,-0.3513,NA,0,1204305,10998223,0.1095,3286,,
Newfoundland & Labrador,,MARTIN'S POINT,,,,,,,94328,13785,0.6403,6,6,NA,NA,NA,NA,,
Nova Scotia,,MARTIN'S RIVER,1206001,Lunenburg,,,,,26230,3250,21.2405,1,1,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,321,MARY'S HARBOUR,1010011,,,,,,2627290,711923,-0.2537,15,22,397797,1385001,0.2872,383,,
Quebec,3680,MATANE (NOUVEAU HAVRE)-QUAI DES PÊCHEURS,2408053,Matane,,,,,6860516,4122864,0.4670,16,21,497116,51853263,0.0096,14462,,
Prince Edward Island,2043,MCAULEY'S SHORE (PINETTE RIVER),1102006,Lot 58,,,,,NA,NA,NA,NA,NA,85616,3495977,0.0245,493,,
Newfoundland & Labrador,323,MCCALLUM,1003014,"Division No.  3, Subd. D",,,,,256722,104957,-0.7098,9,14,183812,886915,0.2072,265,,
New Brunswick,2595,MCEACHERNS POINT (WISHART POINT),1309036,Alnwick,,,,,2385059,728144,-0.6448,37,30,1422765,15412270,0.0923,5922,,
Nova Scotia,,MCGRATH'S COVE,1209034,Halifax,,,,,222403,47503,2.1462,4,3,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,,MELROSE,1007022,Trinity Bay North,,,,,22667,9876,-0.9020,3,4,81708,3295174,0.0248,1827,,
Newfoundland & Labrador,570,MERASHEEN,1002044,"Division No.  2, Subd. L",,,,,149,140,NA,NA,1,NA,NA,NA,15,,
Nova Scotia,,MERIGOMISH,1212011,"Pictou, Subd. C",,,,,30901,7220,29.0570,6,5,212337,9883438,0.0215,8867,,
Nova Scotia,1205,METEGHAN,1203001,Clare,,,,,17929421,6318430,-0.4202,62,76,3859802,20826716,0.1853,8319,,
Nova Scotia,,METEGHAN RIVER,1203001,Clare,,,,,31056,2316,57.2723,NA,0,3859802,20826716,0.1853,8319,,
Newfoundland & Labrador,326,MIDDLE ARM,1008072,Middle Arm,,,,,77508,133189,-0.3112,4,8,115068,1132233,0.1016,476,,
Quebec,3684,MIDDLE BAY,2498010,Bonne-Espérance,,,,,69618,115878,-0.3342,4,7,217524,1426536,0.1525,732,,
Nova Scotia,,MIDDLE EAST PUBNICO,1202001,Argyle,,,,,641731,69860,2.4588,2,2,8301417,26998789,0.3075,8252,,
Quebec,,MIGUASHA,2406020,,,,,,173819,146667,-0.5319,1,3,NA,NA,NA,1689,,
Newfoundland & Labrador,328,MILES COVE,1008058,"Division No.  8, Subd. C",,,,,4400,6706,-0.9493,2,2,NA,NA,NA,527,,
Nova Scotia,1209,MILL COVE,1206009,Chester,,,,,262311,30548,0.0826,4,4,514888,24549564,0.0210,10599,,
Prince Edward Island,,MILL RIVER,1103049,Lot  5,,,,,409303,126302,-0.1638,5,3,118934,2011504,0.0591,1337,,
New Brunswick,2597,MILLER BROOK (SALMON BEACH),1315008,Bathurst,,,,,787129,181866,-0.6948,16,17,146361,19636468,0.0075,4979,,
Quebec,3686,MILLERAND,2401023,Les Îles-de-la-Madeleine,,,,,2388373,681628,0.1125,33,37,598409,1542285,0.3880,12291,,
Prince Edward Island,2046,MILLIGANS SHORE,1103034,Lot 12,,,,,NA,NA,NA,NA,NA,273015,3554215,0.0768,865,,
Prince Edward Island,,MILLIGAN'S WHARF,,,,,,,2512084,397600,0.4475,33,32,NA,NA,NA,NA,,
Prince Edward Island,2047,MIMINEGASH,1103062,Miminegash,,,,,2440655,1821080,-0.4382,28,37,36,576,0.0629,173,,
Prince Edward Island,,MIMINEGASH HARBOUR,,,,,,,455,1948,-0.9873,1,0,NA,NA,NA,NA,,
Quebec,3894,MINGAN,2498045,Longue-Pointe-de-Mingan,,,,,3042797,1071434,0.1719,6,8,305573,2436324,0.1254,479,,
Newfoundland & Labrador,331,MING'S BIGHT,1008074,"Division No.  8, Subd. A",,,,,74783,292406,-0.5009,12,12,127910,565137,0.2263,352,,
Prince Edward Island,2048,MINK RIVER,1101006,Lot 63,,,,,301700,54663,-0.2950,15,12,NA,NA,NA,915,,
New Brunswick,,MIRAMICHI,1309050,,,,,,53104,77274,-0.3611,8,4,132772,66820843,0.0020,17811,,
New Brunswick,2598,MISCOU,1315029,Shippagan,,,,,64561,91742,-0.7850,1,4,2962105,12888780,0.2298,5032,,
New Brunswick,,MISCOU HARBOUR,1315029,Shippagan,,,,,5310642,3642672,0.1366,63,57,2962105,12888780,0.2298,5032,,
Prince Edward Island,,MISCOUCHE,1103024,,,,,,13480,5446,-0.2063,1,1,52925,6656240,0.0080,869,,
New Brunswick,,MISPEC,1301004,Simonds,,,,,563170,67103,-0.4645,3,4,283,58699,0.0048,3828,,
Nova Scotia,,MITCHELL BAY,1209034,Halifax,,,,,116511,12013,-0.4363,NA,1,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,737,MONKSTOWN,1002031,"Division No.  2, Subd. C",,,,,99446,33859,-0.2846,5,4,208627,1509841,0.1382,596,,
Prince Edward Island,2049,MONTAGUE,1101018,Montague,,,,,797934,147820,-0.2758,12,15,1321482,18219712,0.0725,1895,,
Quebec,,MONT-LOUIS,2404010,Saint-Maxime-du-Mont-Louis,,,,,10162,17270,-0.9144,1,1,134917,1884071,0.0716,1118,,
Quebec,3695,MONT-LOUIS OUEST,2404010,Saint-Maxime-du-Mont-Louis,,,,,1287117,736256,-0.0413,5,12,134917,1884071,0.0716,1118,,
Quebec,,MONTMAGNY,2418050,,,,,,90578,17904,0.7540,1,1,NA,NA,NA,11491,,
Nova Scotia,1211,MOOSE HARBOUR,1204010,Queens,,,,,676722,74181,0.6423,9,8,2613644,28495307,0.0917,10917,,
Prince Edward Island,,MORELL,1101048,,,,,,20381,13082,3.4105,12,3,468573,5123314,0.0915,313,,
Newfoundland & Labrador,333,MORETON'S HARBOUR,1008031,"Division No.  8, Subd. H",,,,,261661,93128,0.0541,15,18,518941,4950205,0.1048,2043,,
Nova Scotia,1212,MORRIS ISLAND,1202001,Argyle,,,,,432412,326961,-0.9717,4,3,8301417,26998789,0.3075,8252,,
Newfoundland & Labrador,334,MORTIER,1002025,Fox Cove-Mortier,,,,,NA,NA,NA,NA,NA,NA,NA,NA,333,,
Prince Edward Island,,MOUNT CARMEL,1103026,Lot 15,,,,,95,43,0.4111,1,2,NA,NA,NA,1122,,
Newfoundland & Labrador,,MT. ARLINGTON HEIGHTS,1001263,,,,,,25411,15649,-0.9772,2,2,NA,NA,NA,298,,
Nova Scotia,,MULGRAVE,1213008,,,,,,325607,154010,4.5359,2,3,148832,3810560,0.0391,794,,
Nova Scotia,1215,MURPHY'S POND,1215006,"Inverness, Subd. B",,,,,2425284,343692,-0.5684,55,58,589237,15990801,0.0368,5144,,
Prince Edward Island,,MURRAY HARBOUR,1101002,Murray Harbour,,,,,187532,347067,-0.8453,6,9,1161662,2823864,0.4114,320,,
Prince Edward Island,2050,MURRAY RIVER,1101004,Murray River,,,,,25361,12339,-0.0337,1,1,893949,3861161,0.2315,334,,
Newfoundland & Labrador,339,MUSGRAVE HARBOUR,1008001,"Division No.  8, Subd. M",,,,,2742147,1082465,0.7043,37,35,50579,468656,0.1079,165,,
Nova Scotia,,MUSHABOOM,1209034,Halifax,,,,,572031,57688,1.5503,6,5,8295382,1795405559,0.0046,390096,,
Nova Scotia,,MUSQUODOBOIT HARBOUR,1209034,Halifax,,,,,104415,13236,-0.7356,NA,2,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,585,NAIN,1011035,Nain,,,,,35334,19665,-0.9467,NA,1,39839,3725655,0.0107,1188,,
Newfoundland & Labrador,,NAMELESS COVE,1009021,"Division No.  9, Subd. C",,,,,12919,8924,0.1384,2,3,1381827,7979120,0.1732,2729,,
Quebec,,NATASHQUAN,,,,,,,4692924,1548791,0.3478,21,23,NA,NA,NA,NA,,
Prince Edward Island,2051,NAUFRAGE,1101031,Lot 43,,,,,5800248,844101,-0.3278,72,66,NA,NA,NA,746,,
New Brunswick,2600,NEGUAC,1309036,Alnwick,,,,,2845000,1577981,-0.4273,29,40,1422765,15412270,0.0923,5922,,
Nova Scotia,1216,NEILS HARBOUR,1218006,"Victoria, Subd. A",,,,,669895,107351,1.0324,8,11,1386636,6782866,0.2044,2769,,
Newfoundland & Labrador,343,NEW BONAVENTURE,1007014,"Division No.  7, Subd. J",,,,,23996,8788,-0.8398,2,2,NA,NA,NA,498,,
Newfoundland & Labrador,,NEW FERROLE,,,,,,,487766,436510,-0.2286,31,44,NA,NA,NA,NA,,
Newfoundland & Labrador,345,NEW HARBOUR,1001304,"Division No.  1, Subd. E",,,,,1269723,155874,-0.8723,11,9,622531,10172953,0.0612,2971,,
Nova Scotia,1219,NEW HARBOUR (GUYSBOROUGH COUNTY),1206009,Chester,,,,,NA,NA,NA,NA,NA,514888,24549564,0.0210,10599,,
Newfoundland & Labrador,,"NEW HARBOUR, TRINITY BAY",,,,,,,102439,130600,2.8392,7,12,NA,NA,NA,NA,,
Nova Scotia,1221,NEW HAVEN,1218006,"Victoria, Subd. A",,,,,1174623,205865,-0.1726,12,17,1386636,6782866,0.2044,2769,,
Prince Edward Island,2052,NEW LONDON,1102039,Lot 21,,,,,682004,99198,1.5778,8,6,NA,NA,NA,855,,
Prince Edward Island,,NEW LONDON BAY,,,,,,,6282,4517,-0.9425,NA,1,NA,NA,NA,NA,,
New Brunswick,2601,NEW MILLS,1314003,Colborne,,,,,630215,192352,0.8800,11,13,NA,NA,NA,202,,
Newfoundland & Labrador,,NEW PERLICAN,1001328,Division No. 1,,,,,262,65,-0.9427,NA,0,50420,431652,0.1168,210,,
Nova Scotia,1222,NEW WATERFORD,1217030,Cape Breton,,,,,297317,30181,0.2636,3,3,4980681,329033792,0.0151,97398,,
Nova Scotia,1223,NEWELLTON,1201001,Barrington,,,,,5349953,925758,-0.6703,20,30,7802274,18868721,0.4135,6994,,
Newfoundland & Labrador,348,NEWMANS COVE,1007024,"Division No.  7, Subd. G",,,,,16260,4376,-0.8036,3,3,77618,767825,0.1011,398,,
Prince Edward Island,,NEWPORT,1101026,,,,,,196294,28576,3.0131,1,2,NA,NA,NA,415,,
Quebec,3699,NEWPORT (ILOT),2402028,Chandler,,,,,167151,32857,-0.0156,2,2,197415,6464492,0.0305,7703,,
Quebec,3700,NEWPORT (POINTE),2402028,Chandler,,,,,1041418,218074,-0.9237,14,19,197415,6464492,0.0305,7703,,
Quebec,,NEW-RICHMOND,2405070,,,,,,97064,47211,-0.1565,1,2,52,10921,0.0048,3810,,
Newfoundland & Labrador,350,NEWTOWN,1007060,New-Wes-Valley,,,,,726360,262822,2.4165,21,25,1545742,7733383,0.1999,2265,,
Prince Edward Island,2053,NINE MILE CREEK,1102028,Lot 65,,,,,598351,208453,-0.0448,7,8,NA,NA,NA,2200,,
Newfoundland & Labrador,351,NIPPERS HARBOUR,1008070,Nippers Harbour,,,,,206510,70901,-0.7095,13,13,224164,327815,0.6838,128,,
Newfoundland & Labrador,,NODDY BAY,1009031,"Division No.  9, Subd. D",,,,,38050,17109,-0.5170,8,6,1063069,13904936,0.0765,815,,
Newfoundland & Labrador,,NORMAN'S BAY,1010008,"Division No. 10, Subd. B",,,,,1005,909,-0.8721,1,1,177096,776036,0.2282,349,,
Newfoundland & Labrador,355,NORRIS POINT,1009012,Norris Point,,,,,931962,1944614,8.5447,21,19,22246,2158410,0.0103,685,,
Newfoundland & Labrador,,NORTH BOAT HARBOUR,1009031,"Division No.  9, Subd. D",,,,,30349,10474,1.3816,11,5,1063069,13904936,0.0765,815,,
Newfoundland & Labrador,356,NORTH HARBOUR (PLACENTIA BAY),1002048,"Division No.  2, Subd. K",,,,,133352,87886,-0.7852,10,12,69550,2212683,0.0314,595,,
Newfoundland & Labrador,357,NORTH HARBOUR (ST.MARY'S BAY),1001203,"Division No.  1, Subd. X",,,,,NA,NA,NA,NA,NA,79643,368327,0.2162,506,,
New Brunswick,,NORTH HEAD,1302052,Grand Manan,,,,,7641804,1612073,-0.0704,36,39,NA,NA,NA,2377,,
Nova Scotia,,NORTH INGONISH,,,,,,,2500206,325169,0.7826,29,30,NA,NA,NA,NA,,
Prince Edward Island,2055,NORTH LAKE,1101039,Lot 47,,,,,10379344,3106776,0.0928,111,122,184221,581510,0.3168,496,,
Prince Edward Island,,"NORTH RIVER, QUEENS COUNTY",,,,,,,218272,91171,-0.7104,1,1,NA,NA,NA,NA,,
Prince Edward Island,2056,NORTH RUSTICO,1102046,North Rustico,,,,,3321146,539866,-0.4007,19,35,187928,2481427,0.0757,583,,
Nova Scotia,1226,NORTH SYDNEY-BALLAST GROUNDS,1217030,Cape Breton,,,,,22683188,7993521,-0.5811,20,31,4980681,329033792,0.0151,97398,,
Nova Scotia,,NORTHEAST POINT,,,,,,,190396,19255,-0.5227,1,2,NA,NA,NA,NA,,
Nova Scotia,1227,NORTHPORT,1211009,,,,,,8973625,2295273,-0.3159,64,69,NA,NA,NA,5325,,
Nova Scotia,1228,NORTHWEST COVE,1206009,Chester,,,,,1184931,152601,0.8445,7,10,514888,24549564,0.0210,10599,,
New Brunswick,,OAK POINT,,,,,,,4794,1642,-0.9616,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,360,OCHRE PIT COVE,1001339,"Division No.  1, Subd. G",,,,,859294,321814,0.1341,16,24,1322782,5570825,0.2374,2017,,
Newfoundland & Labrador,359,O'DONNELLS,1001155,"Division No.  1, Subd. W",,,,,983737,538747,-0.9628,2,8,NA,NA,NA,511,,
Newfoundland & Labrador,363,OLD BONAVENTURE,1007014,"Division No.  7, Subd. J",,,,,506496,210734,0.7499,14,18,NA,NA,NA,498,,
Quebec,3893,OLD FORT BAY-QUAI DES PÊCHEURS,2498010,Bonne-Espérance,,,,,NA,NA,NA,NA,NA,217524,1426536,0.1525,732,,
Newfoundland & Labrador,364,OLD PERLICAN,1001343,Old Perlican,,,,,10171134,4573867,1.4987,64,68,859912,2681480,0.3207,661,,
Newfoundland & Labrador,366,OPEN HALL,1007028,"Division No.  7, Subd. F",,,,,48562,14633,3.9747,4,2,230455,2628849,0.0877,971,,
Prince Edward Island,,ORWELL BAY,,,,,,,90871,41468,-0.4433,NA,1,NA,NA,NA,NA,,
Nova Scotia,,OSBORNE HARBOUR,1201006,Shelburne,,,,,108639,11965,-0.2205,2,3,622600,2383982,0.2612,4408,,
Nova Scotia,,OSTREA LAKE,1209034,Halifax,,,,,130068,187422,0.8598,4,4,8295382,1795405559,0.0046,390096,,
Nova Scotia,1232,OWL'S HEAD,1209034,Halifax,,,,,1206787,301454,-0.6587,6,10,8295382,1795405559,0.0046,390096,,
Quebec,,PABOS,2402028,Chandler,,,,,68089,7114,-0.5540,1,2,197415,6464492,0.0305,7703,,
Newfoundland & Labrador,369,PACQUET,1008074,"Division No.  8, Subd. A",,,,,96790,215224,-0.8842,23,26,127910,565137,0.2263,352,,
Newfoundland & Labrador,370,PARKERS COVE,1002031,"Division No.  2, Subd. C",,,,,281287,104068,-0.4311,6,9,208627,1509841,0.1382,596,,
Nova Scotia,1234,PARKER'S COVE,1205004,"Annapolis, Subd. A",,,,,3180780,342585,1.4573,10,11,1116846,8333732,0.1340,6008,,
Nova Scotia,,PARRSBORO,1211002,Cumberland,,,,,357236,246868,-0.0817,NA,3,232968,6408950,0.0364,1305,,
Newfoundland & Labrador,372,PARSON'S POND,1009017,Parson's Pond,,,,,269061,72924,-0.2542,11,15,37257,1142337,0.0326,478,,
Quebec,3725,PASPÉBIAC - QUAI DES PÊCHEURS ET DÉBARCADÈRE,2405032,Paspébiac,,,,,4558343,1209283,-0.0046,22,24,397337,11493407,0.0346,3198,,
Nova Scotia,1235,PEGGYS COVE,1209034,Halifax,,,,,176236,58412,-0.8236,4,4,8295382,1795405559,0.0046,390096,,
Nova Scotia,,PEMBROKE,,,,,,,873666,108709,0.0602,4,6,NA,NA,NA,NA,,
Nova Scotia,,PENNANT,1209034,Halifax,,,,,22928,2617,-0.5337,1,0,8295382,1795405559,0.0046,390096,,
Quebec,3727,PERCÉ,2402005,Percé,,,,,170463,17422,-0.8546,7,3,978725,7646058,0.1280,3312,,
Nova Scotia,1236,PEREAUX (DELHAVEN),1207016,"Kings, Subd. B",,,,,833988,111736,-0.4867,3,4,149039,27045092,0.0055,11990,,
New Brunswick,2580,PETIT SHIPPAGAN,1315029,Shippagan,,,,,2525970,2205824,0.2121,39,38,2962105,12888780,0.2298,5032,,
New Brunswick,2576,PETIT-CAP,1307004,Botsford,,,,,1122,216813,-0.4196,21,21,184264,2542776,0.0725,1074,,
Nova Scotia,1408,PETIT-DE-GRAT,1216001,"Richmond, Subd. C",,,,,NA,NA,0.6071,21,26,1204305,10998223,0.1095,3286,,
Newfoundland & Labrador,677,PETITE FORTE,1002031,"Division No.  2, Subd. C",,,,,1187685,536542,0.1714,25,22,208627,1509841,0.1382,596,,
New Brunswick,2606,PETIT-ROCHER,1315012,Beresford,,,,,965325,183606,0.1887,19,16,70868,23059190,0.0031,6354,,
Newfoundland & Labrador,,PETLEY,1007006,"Division No.  7, Subd. L",,,,,5640,2248,-0.6944,1,1,188873,1042749,0.1811,1272,,
Newfoundland & Labrador,377,"PETTY HARBOUR, SOUTHERN SHORE",1001551,Petty Harbour-Maddox Cove,,,,,2189145,616563,-0.0027,39,36,237540,5034856,0.0472,924,,
Newfoundland & Labrador,379,PICCADILLY,1004022,"Division No.  4, Subd. E",,,,,269873,609835,-0.9824,3,9,33,800,0.0414,1973,,
Nova Scotia,,PICTOU HARBOUR,,,,,,,3257,2961,19.9688,3,0,NA,NA,NA,NA,,
Nova Scotia,1239,PICTOU ISLAND WEST,1212001,"Pictou, Subd. A",,,,,84307,10955,1.1434,9,5,352662,11924084,0.0296,6397,,
Nova Scotia,1240,PICTOU LANDING,1212011,"Pictou, Subd. C",,,,,770987,226728,0.2847,11,17,212337,9883438,0.0215,8867,,
New Brunswick,2608,PIGEON HILL,1315029,Shippagan,,,,,5107412,5700871,0.4027,40,48,2962105,12888780,0.2298,5032,,
Newfoundland & Labrador,,PIKES ARM,1008031,"Division No.  8, Subd. H",,,,,119928,50358,0.0649,10,13,518941,4950205,0.1048,2043,,
Newfoundland & Labrador,,PILLEY'S ISLAND,1008053,,,,,,6856,4213,26.2152,1,1,20042,919279,0.0218,301,,
Newfoundland & Labrador,,PINES COVE (PAYNES COVE),1009021,"Division No.  9, Subd. C",,,,,NA,NA,4.8943,NA,NA,1381827,7979120,0.1732,2729,,
